,id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,1,8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE,,,,,,3.57878272,5.4e-07,-5.4e-07,134.029405,5.1e-05,-5.1e-05,0.025,0.1,-0.1,2.8982,,,11445,,,10.93,0.47,-0.47,1189.0,,,,,,2178.0,,,5731.0,50.0,-50.0,4.45,0.1,-0.1,1.039,0.045,-0.045,289.60797,44.345421,13.938
2,2,9406990,K00937.01,Kepler-733 b,CONFIRMED,CANDIDATE,,,,,,20.83495,0.00018,-0.00018,176.578,0.0032,-0.0032,0.34,0.99,-0.99,4.0548,,,994,,,2.42,0.84,-0.84,559.0,,,,,,46.3,,,5429.0,102.0,-102.0,4.6,0.3,-0.3,0.78,0.24,-0.24,293.01828,45.914688,15.412
4,4,9415172,K00938.02,Kepler-255 d,CONFIRMED,CANDIDATE,,,,,,1.045632,1.4e-05,-1.4e-05,133.9141,0.0024,-0.0024,0.77,0.18,-0.18,1.8348,,,214,,,1.28,0.62,-0.62,1561.0,,,,,,27.5,,,5463.0,128.0,-128.0,4.58,0.3,-0.3,0.8,0.38,-0.38,296.06424,45.976841,15.596
5,6,9466668,K00939.01,Kepler-256 c,CONFIRMED,CANDIDATE,,,,,,3.388008,3.4e-05,-3.4e-05,170.5325,0.003,-0.003,0.54,0.16,-0.16,2.7145,,,282,,,1.54,0.77,-0.77,1165.0,,,,,,33.5,,,5870.0,159.0,-159.0,4.54,0.3,-0.3,0.89,0.44,-0.44,292.58044,46.097389,15.065
6,10,9479273,K00940.01,Kepler-734 b,CONFIRMED,CANDIDATE,,,,,,6.104862,1.1e-05,-1.1e-05,169.57151,0.00055,-0.00055,0.018,0.1,-0.1,4.6174,,,2080,,,3.5,2.1,-2.1,856.0,,,,,,318.6,,,5482.0,118.0,-118.0,4.59,0.3,-0.3,0.79,0.48,-0.48,297.04562,46.027359,15.017
7,15,5446285,K00142.01,Kepler-88 b,CONFIRMED,CANDIDATE,,,,,,10.916386,1.4e-05,-1.4e-05,133.01905,0.00047,-0.00047,0.38,0.22,-0.22,3.4511,,,1457,,,3.78,0.2,-0.2,791.0,,,,,,45.6,,,5621.0,50.0,-50.0,4.47,0.1,-0.1,0.997,0.045,-0.045,291.14807,40.669399,13.113
10,19,10141900,K01082.03,Kepler-763 b,CONFIRMED,CANDIDATE,,,,,,1.196577,1.7e-05,-1.7e-05,132.5227,0.0024,-0.0024,0.53,0.61,-0.61,1.2406,,,190,,,1.02,0.46,-0.46,1347.0,,,,,,17.7,,,5194.0,97.0,-97.0,4.63,0.3,-0.3,0.73,0.31,-0.31,292.14447,47.157349,15.692
11,20,10157458,K01083.01,Kepler-764 b,CONFIRMED,CANDIDATE,,,,,,7.33674,0.00013,-0.00013,138.5856,0.0057,-0.0057,0.71,0.39,-0.39,3.4844,,,349,,,1.8,1.2,-1.2,886.0,,,,,,23.4,,,5804.0,101.0,-101.0,4.54,0.3,-0.3,0.87,0.58,-0.58,297.39319,47.164631,15.302
14,25,5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,,,,,,4.144538,5e-05,-5e-05,135.9263,0.0041,-0.0041,0.41,0.71,-0.71,2.209,,,379,,,1.28,0.16,-0.16,823.0,,,,,,25.9,,,4921.0,84.0,-84.0,4.67,0.3,-0.3,0.661,0.023,-0.023,291.15878,40.750271,15.66
15,31,5792202,K00841.03,Kepler-27 d,CONFIRMED,CANDIDATE,,,,,,6.546303,4e-05,-4e-05,133.854,0.0028,-0.0028,0.804,0.1,-0.1,2.9571,,,747,,,2.8,0.14,-0.14,876.0,,,,,,38.0,,,5399.0,60.0,-60.0,4.51,0.2,-0.2,0.919,0.041,-0.041,292.23676,41.08588,15.855
