,id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
0,14,10158990,K01080.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.0965841,2.3e-06,-2.3e-06,133.6136,0.0013,-0.0013,0.026,0.1,-0.1,2.0671,,,306,,,1.4,0.76,-0.76,1523.0,,,,,,44.8,,,5249.0,86.0,-86.0,4.5,0.3,-0.3,0.82,0.39,-0.39,297.78802,47.10107,14.867
1,22,5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.3840538,3.9e-06,-3.9e-06,171.5829,0.0011,-0.0011,0.02,0.11,-0.11,2.2918,,,1498,,,2.5,1.2,-1.2,983.0,,,,,,73.7,,,4796.0,71.0,-71.0,4.62,0.3,-0.3,0.669,0.018,-0.018,299.64285,40.691238,15.836
2,27,5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.4467361,1.4e-06,-1.4e-06,170.66896,0.00038,-0.00038,1.11,0.68,-0.68,3.2701,,,3338,,,18.0,11.0,-11.0,1251.0,,,,,,371.3,,,5741.0,99.0,,4.56,0.3,-0.3,0.85,0.3,-0.3,298.96112,40.862808,15.021
3,40,9595686,K00944.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.1082511,5.9e-06,-5.9e-06,170.24404,0.00058,-0.00058,0.896,0.1,-0.1,2.5337,,,1880,,,4.4,2.5,-2.5,1086.0,,,,,,173.7,,,5303.0,82.0,-82.0,4.49,0.3,-0.3,0.84,0.47,-0.47,294.79974,46.207569,15.361
4,43,9661877,K00946.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,20.427241,5.9e-05,-5.9e-05,176.7165,0.0019,-0.0019,1.04,0.86,-0.86,2.7027,,,1259,,,9.4,5.8,-5.8,663.0,,,,,,51.4,,,5993.0,124.0,-124.0,4.51,0.3,-0.3,0.93,0.39,-0.39,296.65915,46.382172,15.163
5,46,3124412,K01087.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.9489512,1.1e-06,-1.1e-06,134.36725,0.00034,-0.00034,1.229,0.1,-0.1,3.903,,,3505,,,35.0,15.0,-15.0,2037.0,,,,,,334.6,,,6269.0,157.0,-157.0,4.41,0.3,-0.3,1.08,0.45,-0.45,293.24384,38.27327,14.909
6,52,3098184,K01091.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,15.23928,0.00013,-0.00013,369.561,0.0048,-0.0048,0.89,0.23,-0.23,12.7321,,,16447,,,13.2,5.1,-5.1,690.0,,,,,,155.9,,,6164.0,200.0,-200.0,4.67,0.3,-0.3,0.79,0.3,-0.3,286.00031,38.284599,15.148
7,88,3228824,K01100.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.7309384,1.9e-06,-1.9e-06,355.902,0.0013,-0.0013,0.41,0.64,-0.64,2.6613,,,530,,,1.73,0.87,-0.87,1413.0,,,,,,53.7,,,4606.0,200.0,-200.0,4.6,0.3,-0.3,0.73,0.3,-0.3,289.76483,38.35236,15.736
8,115,6675056,K00859.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,10.443322,2.5e-05,-2.5e-05,175.4039,0.0016,-0.0016,0.03,0.18,-0.18,2.8999,,,1189,,,2.3,1.1,-1.1,624.0,,,,,,59.1,,,4889.0,71.0,-71.0,4.6,0.3,-0.3,0.695,0.021,-0.021,286.24356,42.148811,15.546
9,125,8176650,K00960.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,15.8011078,5.3e-06,-5.3e-06,177.15245,0.00011,-0.00011,0.5005,0.1,-0.1,6.3118,,,37927,,,15.1,6.1,-6.1,603.0,,,,,,2336.9,,,5368.0,85.0,-85.0,4.61,0.3,-0.3,0.76,0.31,-0.31,295.47067,44.010738,15.513
10,130,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.0124773,1.3e-06,-1.3e-06,135.2582,0.00029,-0.00029,1.03,0.33,-0.33,2.4685,,,1653,,,21.0,14.0,-14.0,2369.0,,,,,,608.2,,,8595.0,200.0,-200.0,4.13,0.3,-0.3,1.95,0.97,-0.97,294.1434,39.089779,12.403
