kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9388479,K00936.02,Kepler-732 c,CONFIRMED,CANDIDATE,,,,,,0.89304770,2.80000e-06,-2.80000e-06,134.5381400,3.80000e-04,-3.80000e-04,0.7500,0.21,-0.21,1.1894,,,738,,,1.47,0.12,-0.12,973.0,,,,,,102.70,,,3834.00,200.00,-200.00,4.760,0.300,-0.300,0.4960,0.0230,-0.0230,283.732030,45.958771,15.073
8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE,,,,,,3.57878272,5.40000e-07,-5.40000e-07,134.0294050,5.10000e-05,-5.10000e-05,0.0250,0.10,-0.10,2.8982,,,11445,,,10.93,0.47,-0.47,1189.0,,,,,,2178.00,,,5731.00,50.00,-50.00,4.450,0.100,-0.100,1.0390,0.0450,-0.0450,289.607970,44.345421,13.938
9406990,K00937.01,Kepler-733 b,CONFIRMED,CANDIDATE,,,,,,20.83495000,1.80000e-04,-1.80000e-04,176.5780000,3.20000e-03,-3.20000e-03,0.3400,0.99,-0.99,4.0548,,,994,,,2.42,0.84,-0.84,559.0,,,,,,46.30,,,5429.00,102.00,-102.00,4.600,0.300,-0.300,0.7800,0.2400,-0.2400,293.018280,45.914688,15.412
9415172,K00938.01,Kepler-255 c,CONFIRMED,CANDIDATE,,,,,,9.94604900,6.70000e-05,-6.70000e-05,171.7003000,2.40000e-03,-2.40000e-03,0.8300,0.13,-0.13,3.4912,,,1034,,,2.90,1.40,-1.40,729.0,,,,,,54.70,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,0.8000,0.3800,-0.3800,296.064240,45.976841,15.596
9415172,K00938.02,Kepler-255 d,CONFIRMED,CANDIDATE,,,,,,1.04563200,1.40000e-05,-1.40000e-05,133.9141000,2.40000e-03,-2.40000e-03,0.7700,0.18,-0.18,1.8348,,,214,,,1.28,0.62,-0.62,1561.0,,,,,,27.50,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,0.8000,0.3800,-0.3800,296.064240,45.976841,15.596
9415172,K00938.03,Kepler-255 b,CONFIRMED,NOT DISPOSITIONED,,,,,,5.71442000,1.00000e-04,-1.00000e-04,132.6477000,6.40000e-03,-6.40000e-03,0.8920,0.10,-0.10,2.3220,,,284,,,1.61,0.78,-0.78,878.0,,,,,,17.10,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,0.8000,0.3800,-0.3800,296.064240,45.976841,15.596
9466668,K00939.01,Kepler-256 c,CONFIRMED,CANDIDATE,,,,,,3.38800800,3.40000e-05,-3.40000e-05,170.5325000,3.00000e-03,-3.00000e-03,0.5400,0.16,-0.16,2.7145,,,282,,,1.54,0.77,-0.77,1165.0,,,,,,33.50,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,292.580440,46.097389,15.065
9466668,K00939.02,Kepler-256 d,CONFIRMED,NOT DISPOSITIONED,,,,,,5.83906100,7.70000e-05,-7.70000e-05,132.0944000,4.60000e-03,-4.60000e-03,0.5900,0.15,-0.15,3.1245,,,276,,,1.54,0.77,-0.77,973.0,,,,,,26.40,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,292.580440,46.097389,15.065
9466668,K00939.03,Kepler-256 b,CONFIRMED,NOT DISPOSITIONED,,,,,,1.62043600,2.20000e-05,-2.20000e-05,132.0694000,3.40000e-03,-3.40000e-03,0.5300,0.15,-0.15,2.1337,,,146,,,1.11,0.56,-0.56,1487.0,,,,,,24.10,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,292.580440,46.097389,15.065
9466668,K00939.04,Kepler-256 e,CONFIRMED,NOT DISPOSITIONED,,,,,,10.68176000,1.80000e-04,-1.80000e-04,131.5500000,6.20000e-03,-6.20000e-03,0.6600,0.13,-0.13,3.5771,,,296,,,1.62,0.81,-0.81,793.0,,,,,,24.70,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,292.580440,46.097389,15.065
9479273,K00940.01,Kepler-734 b,CONFIRMED,CANDIDATE,,,,,,6.10486200,1.10000e-05,-1.10000e-05,169.5715100,5.50000e-04,-5.50000e-04,0.0180,0.10,-0.10,4.6174,,,2080,,,3.50,2.10,-2.10,856.0,,,,,,318.60,,,5482.00,118.00,-118.00,4.590,0.300,-0.300,0.7900,0.4800,-0.4800,297.045620,46.027359,15.017
10166274,K01078.02,Kepler-267 c,CONFIRMED,NOT DISPOSITIONED,,,,,,6.87745800,3.60000e-05,-3.60000e-05,132.0839000,1.80000e-03,-1.80000e-03,0.8400,0.57,-0.57,1.4602,,,1458,,,2.32,0.62,-0.62,543.0,,,,,,45.70,,,4081.00,200.00,-200.00,4.740,0.300,-0.300,0.5270,0.0290,-0.0290,299.830410,47.157459,15.438
10166274,K01078.03,Kepler-267 d,CONFIRMED,NOT DISPOSITIONED,,,,,,28.46381000,2.80000e-04,-2.80000e-04,158.0454000,3.20000e-03,-3.20000e-03,0.6900,0.99,-0.99,2.9609,,,1698,,,2.31,0.63,-0.63,337.0,,,,,,32.10,,,4081.00,200.00,-200.00,4.740,0.300,-0.300,0.5270,0.0290,-0.0290,299.830410,47.157459,15.438
10153827,K01079.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,,,,,0.29362991,9.90000e-07,-9.90000e-07,133.5837900,1.60000e-04,-1.60000e-04,1.3001,0.10,-0.10,1.9879,,,1895,,,31.20,4.10,-4.10,2537.0,,,,,,217.80,,,5651.00,102.00,-102.00,4.570,0.300,-0.300,0.8300,0.1100,-0.1100,296.334350,47.145580,15.822
10158990,K01080.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.09658410,2.30000e-06,-2.30000e-06,133.6136000,1.30000e-03,-1.30000e-03,0.0260,0.10,-0.10,2.0671,,,306,,,1.40,0.76,-0.76,1523.0,,,,,,44.80,,,5249.00,86.00,-86.00,4.500,0.300,-0.300,0.8200,0.3900,-0.3900,297.788020,47.101070,14.867
5446285,K00142.01,Kepler-88 b,CONFIRMED,CANDIDATE,,,,,,10.91638600,1.40000e-05,-1.40000e-05,133.0190500,4.70000e-04,-4.70000e-04,0.3800,0.22,-0.22,3.4511,,,1457,,,3.78,0.20,-0.20,791.0,,,,,,45.60,,,5621.00,50.00,-50.00,4.470,0.100,-0.100,0.9970,0.0450,-0.0450,291.148070,40.669399,13.113
10149023,K01081.01,,CANDIDATE,CANDIDATE,,,,,,9.95512100,9.50000e-05,-9.50000e-05,134.3343000,3.50000e-03,-3.50000e-03,0.2200,0.67,-0.67,3.2651,,,516,,,2.20,1.10,-1.10,879.0,,,,,,32.30,,,6129.00,113.00,-113.00,4.490,0.300,-0.300,0.9800,0.4600,-0.4600,294.768550,47.132790,15.220
10141900,K01082.01,Kepler-763 d,CONFIRMED,CANDIDATE,,,,,,6.50322700,6.80000e-05,-6.80000e-05,135.2694000,4.60000e-03,-4.60000e-03,0.0300,0.32,-0.32,2.5545,,,418,,,1.46,0.65,-0.65,772.0,,,,,,20.50,,,5194.00,97.00,-97.00,4.630,0.300,-0.300,0.7300,0.3100,-0.3100,292.144470,47.157349,15.692
10141900,K01082.02,Kepler-763 c,CONFIRMED,CANDIDATE,,,,,,4.09672900,5.00000e-05,-5.00000e-05,133.0932000,4.90000e-03,-4.90000e-03,0.3300,0.32,-0.32,2.0704,,,290,,,1.23,0.55,-0.55,900.0,,,,,,18.40,,,5194.00,97.00,-97.00,4.630,0.300,-0.300,0.7300,0.3100,-0.3100,292.144470,47.157349,15.692
